ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-06-19,24560.931769947507,23929.772068673374,25398.30097106894,24560.931769947507,24560.931769947507,102.66314006350106,102.66314006350106,102.66314006350106,132.1674676132081,132.1674676132081,132.1674676132081,-29.504327549707018,-29.504327549707018,-29.504327549707018,0.0,0.0,0.0,24663.59491001101
2025-06-20,24564.87685854514,23904.862248170604,25334.48336135057,24564.87685854514,24564.87685854514,95.25110335363927,95.25110335363927,95.25110335363927,119.50192119559941,119.50192119559941,119.50192119559941,-24.25081784196015,-24.25081784196015,-24.25081784196015,0.0,0.0,0.0,24660.12796189878
2025-06-23,24576.712124338042,24012.487765834598,25437.652272203115,24576.712124338042,24576.712124338042,126.02395179427135,126.02395179427135,126.02395179427135,128.19211995591468,128.19211995591468,128.19211995591468,-2.1681681616433313,-2.1681681616433313,-2.1681681616433313,0.0,0.0,0.0,24702.736076132314
2025-06-24,24580.657212935675,24000.478079829598,25390.202797968836,24580.657212935675,24580.657212935675,138.68293691196763,138.68293691196763,138.68293691196763,131.19089596880434,131.19089596880434,131.19089596880434,7.492040943163315,7.492040943163315,7.492040943163315,0.0,0.0,0.0,24719.34014984764
2025-06-25,24584.60230153331,23971.74560914261,25409.250629358714,24584.60230153331,24584.60230153331,148.72704065177885,148.72704065177885,148.72704065177885,130.40851066618748,130.40851066618748,130.40851066618748,18.318529985591365,18.318529985591365,18.318529985591365,0.0,0.0,0.0,24733.329342185087
2025-06-26,24588.54739013094,24019.415438680153,25468.937126989305,24588.54739013094,24588.54739013094,162.44072211495313,162.44072211495313,162.44072211495313,132.16746761291543,132.16746761291543,132.16746761291543,30.27325450203769,30.27325450203769,30.27325450203769,0.0,0.0,0.0,24750.988112245894
2025-06-27,24592.49247872858,24066.953374050958,25463.824895921472,24592.49247872858,24592.49247872858,162.78933038073322,162.78933038073322,162.78933038073322,119.50192119532159,119.50192119532159,119.50192119532159,43.28740918541165,43.28740918541165,43.28740918541165,0.0,0.0,0.0,24755.281809109314
2025-06-30,24604.327744521477,24099.817647303225,25534.27730425028,24604.327744521477,24604.327744521477,215.77443303714563,215.77443303714563,215.77443303714563,128.19211995623328,128.19211995623328,128.19211995623328,87.58231308091234,87.58231308091234,87.58231308091234,0.0,0.0,0.0,24820.102177558623
2025-07-01,24608.27283311911,24051.583261080305,25546.484197930004,24608.27283311911,24608.27283311911,234.80353194915637,234.80353194915637,234.80353194915637,131.19089596983102,131.19089596983102,131.19089596983102,103.61263597932533,103.61263597932533,103.61263597932533,0.0,0.0,0.0,24843.076365068267
2025-07-02,24612.217921716747,24124.63592630387,25603.647782500902,24612.217921716747,24612.217921716747,250.3959167031564,250.3959167031564,250.3959167031564,130.40851066583085,130.40851066583085,130.40851066583085,119.98740603732556,119.98740603732556,119.98740603732556,0.0,0.0,0.0,24862.613838419904
2025-07-03,24616.163010314383,24180.773756871487,25659.446002302502,24616.163010314383,24616.163010314383,268.68293631333626,268.68293631333626,268.68293631333626,132.16746761258082,132.16746761258082,132.16746761258082,136.5154687007554,136.5154687007554,136.5154687007554,0.0,0.0,0.0,24884.84594662772
2025-07-04,24620.108098912016,24141.154604980144,25615.084181968,24620.108098912016,24620.108098912016,272.50199738659705,272.50199738659705,272.50199738659705,119.50192119499216,119.50192119499216,119.50192119499216,153.00007619160485,153.00007619160485,153.00007619160485,0.0,0.0,0.0,24892.610096298613
2025-07-07,24631.943364704915,24246.575277074477,25695.608280822955,24631.943364704915,24631.943364704915,328.43463803807055,328.43463803807055,328.43463803807055,128.19211995655186,128.19211995655186,128.19211995655186,200.24251808151868,200.24251808151868,200.24251808151868,0.0,0.0,0.0,24960.378002742986
2025-07-08,24635.888453302552,24245.468551668557,25695.09424808802,24635.888453302552,24635.888453302552,345.8315744416258,345.8315744416258,345.8315744416258,131.19089596891044,131.19089596891044,131.19089596891044,214.64067847271534,214.64067847271534,214.64067847271534,0.0,0.0,0.0,24981.720027744177
2025-07-09,24639.833541900185,24224.784428555824,25713.042088731265,24639.833541900185,24639.833541900185,358.5005301676057,358.5005301676057,358.5005301676057,130.40851066547415,130.40851066547415,130.40851066547415,228.0920195021315,228.0920195021315,228.0920195021315,0.0,0.0,0.0,24998.33407206779
2025-07-10,24643.778630497818,24321.272463054192,25718.41657982098,24643.778630497818,24643.778630497818,372.6288848770731,372.6288848770731,372.6288848770731,132.16746761287135,132.16746761287135,132.16746761287135,240.46141726420177,240.46141726420177,240.46141726420177,0.0,0.0,0.0,25016.407515374893
2025-07-11,24647.72371909545,24350.887263682616,25752.969067364502,24647.72371909545,24647.72371909545,371.13867843259317,371.13867843259317,371.13867843259317,119.50192119468855,119.50192119468855,119.50192119468855,251.63675723790465,251.63675723790465,251.63675723790465,0.0,0.0,0.0,25018.862397528042
2025-07-14,24659.558984888354,24356.56929744532,25788.632873427076,24659.558984888354,24659.558984888354,405.456053679824,405.456053679824,405.456053679824,128.19211995687047,128.19211995687047,128.19211995687047,277.2639337229536,277.2639337229536,277.2639337229536,0.0,0.0,0.0,25065.015038568177
2025-07-15,24663.504073485987,24348.354006607537,25749.85642191004,24663.504073485987,24663.504073485987,414.2557588212474,414.2557588212474,414.2557588212474,131.19089596930166,131.19089596930166,131.19089596930166,283.06486285194575,283.06486285194575,283.06486285194575,0.0,0.0,0.0,25077.759832307234
2025-07-16,24667.44916208362,24366.787142205372,25795.501964143794,24667.44916208362,24667.44916208362,417.9179331056189,417.9179331056189,417.9179331056189,130.40851066565497,130.40851066565497,130.40851066565497,287.50942243996394,287.50942243996394,287.50942243996394,0.0,0.0,0.0,25085.367095189238
2025-07-17,24671.394250681253,24386.82586320365,25824.281264306734,24671.394250681253,24671.394250681253,422.81324537232996,422.81324537232996,422.81324537232996,132.16746761257875,132.16746761257875,132.16746761257875,290.6457777597513,290.6457777597513,290.6457777597513,0.0,0.0,0.0,25094.207496053583
2025-07-18,24675.339339278886,24342.39657737647,25805.499124618025,24675.339339278886,24675.339339278886,412.04812163730435,412.04812163730435,412.04812163730435,119.50192119438495,119.50192119438495,119.50192119438495,292.54620044291937,292.54620044291937,292.54620044291937,0.0,0.0,0.0,25087.38746091619
2025-07-21,24687.17460507179,24412.426154023065,25800.621686772407,24687.17460507179,24687.17460507179,420.05575613470063,420.05575613470063,420.05575613470063,128.19211995654467,128.19211995654467,128.19211995654467,291.86363617815584,291.86363617815584,291.86363617815584,0.0,0.0,0.0,25107.23036120649
2025-07-22,24691.11969366942,24430.767173902273,25829.796668857474,24691.11969366942,24691.11969366942,421.1247049989757,421.1247049989757,421.1247049989757,131.19089596903697,131.19089596903697,131.19089596903697,289.9338090299387,289.9338090299387,289.9338090299387,0.0,0.0,0.0,25112.244398668397
2025-07-23,24695.064782267058,24428.94573257924,25825.151522110846,24695.064782267058,24695.064782267058,417.8030498940152,417.8030498940152,417.8030498940152,130.40851066497638,130.40851066497638,130.40851066497638,287.3945392290388,287.3945392290388,287.3945392290388,0.0,0.0,0.0,25112.86783216107
2025-07-24,24699.00987086469,24414.227414143443,25878.938050221495,24699.00987086469,24699.00987086469,416.56805058057193,416.56805058057193,416.56805058057193,132.1674676128693,132.1674676128693,132.1674676128693,284.40058296770263,284.40058296770263,284.40058296770263,0.0,0.0,0.0,25115.577921445263
2025-07-25,24702.954959462324,24430.30718649724,25864.798999533043,24702.954959462324,24702.954959462324,400.61000086766904,400.61000086766904,400.61000086766904,119.50192119408132,119.50192119408132,119.50192119408132,281.1080796735877,281.1080796735877,281.1080796735877,0.0,0.0,0.0,25103.564960329993
